2013,276,0
3957,729,1
8154,633,1
1708,315,0
6918,384,0
7946,751,1
1390,208,1
4263,726,0
3132,31,1
2939,231,0
9087,444,1
630,446,1
779,726,1
5904,242,1
6221,23,1
5054,756,0
4081,159,0
992,32,1
5654,442,1
475,487,1
6209,233,1
4361,608,1
344,730,1
5981,470,0
8627,236,1
3820,183,0
6768,152,0
2299,487,0
5482,212,1
8075,233,0
6183,608,1
8427,216,0
2443,196,0
8764,621,1
233,177,1
8501,31,1
5089,109,0
6824,368,1
4001,444,1
9940,168,0
6904,785,1
2101,243,1
4396,557,0
9923,57,0
9363,31,1
1178,233,1
4090,340,1
7483,750,0
2012,195,0
5537,621,1
7003,797,0
1203,778,1
2895,16,1
5146,421,1
9940,305,0
163,443,1
6635,365,1
1192,235,1
7102,637,1
4701,619,1
7459,532,0
6768,237,1
5037,830,0
8480,202,0
4342,749,1
4936,123,1
4549,166,1
7687,444,1
1982,443,1
1786,23,1
8782,646,1
8757,756,1
2073,487,0
9276,445,1
5634,197,0
9775,603,1
9488,88,1
9217,67,0
5430,31,1
4743,236,1
8792,89,1
695,727,1
2193,729,1
2560,310,1
9397,487,1
8823,241,0
2536,5,0
7301,750,0
7266,762,1
2423,444,1
1905,42,1
3253,513,1
2981,730,1
7468,638,1
7107,11,1
1262,528,1
1046,785,1
307,791,1
4346,31,1
6657,768,0
8194,25,0
4122,751,0
2108,215,0
8689,621,0
8654,31,1
2158,32,1
5060,244,1
643,238,1
703,233,0
6957,305,1
797,236,0
5707,771,0
4210,399,0
1420,504,0
1684,444,1
1357,197,0
4484,236,1
9249,492,1
2947,237,1
6135,197,0
9151,182,1
2544,231,0
5850,44,0
6247,272,1
5218,727,1
2011,421,1
6682,443,1
967,31,1
6514,442,1
6215,443,1
1856,450,0
2683,487,1
8532,487,1
4882,492,0
7859,620,0
2456,445,1
2026,631,0
1630,728,1
9301,127,1
4203,181,1
5580,34,0
5633,576,0
3672,726,0
557,81,0
8374,393,1
2605,608,1
7228,196,1
5645,577,1
7369,73,1
4958,216,1
8509,727,1
5003,197,0
206,787,0
9439,235,1
2060,760,1
4737,236,1
4000,68,0
5360,748,0
115,71,0
9425,293,1
873,647,0
6063,238,1
4017,49,1
4375,32,1
8610,442,1
2568,417,0
5877,487,1
9029,446,1
995,550,1
6715,495,0
2180,57,1
4331,168,0
7220,748,1
5112,90,1
3362,830,1
683,443,0
4467,538,0
6927,196,0
8142,340,1
1646,444,1
7174,742,1
9306,434,0
4829,16,1
7187,261,1
2504,236,1
6427,396,1
2315,32,1
8592,272,1
7826,830,0
4243,772,1
7238,445,1
3909,216,1
513,234,1
1645,712,0
7147,811,0
9106,420,1
3656,233,0
4971,728,1
2799,453,1
1297,443,1
2012,756,1
3283,517,0
5070,445,0
4741,612,0
4583,447,0
8270,114,1
5591,134,0
6571,245,1
3760,553,1
5073,185,0
4590,57,0
3927,437,0
4813,134,1
7971,494,0
9303,726,0
8788,463,1
6525,31,1
4045,259,1
1634,233,0
1992,822,0
5052,494,0
7505,31,1
6888,279,0
699,31,0
2650,508,0
1253,620,1
1037,536,1
3703,751,1
8396,435,1
6528,89,0
9196,244,1
5672,34,0
9796,81,0
9452,750,1
2632,182,1
6327,633,1
9858,727,1
9356,748,0
8126,167,0
5447,339,0
5098,182,0
3366,534,1
3584,25,1
8848,446,1
9245,32,0
9973,467,0
5561,14,1
7372,819,0
218,45,0
5617,235,1
466,686,1
9538,168,0
6668,727,1
9720,305,1
7479,212,0
8158,646,0
4474,31,1
8878,13,1
3674,19,0
1366,830,0
5576,492,0
9865,121,1
9352,436,1
5196,470,1
2885,237,1
4936,32,1
8089,181,1
1162,232,1
6843,488,1
944,728,1
4782,437,0
6212,577,0
2056,724,1
7734,360,0
4885,235,1
4281,730,0
8553,612,0
5625,236,1
2782,299,0
2886,612,0
4106,23,0
5033,22,1
5816,492,1
7489,317,0
3748,820,1
8948,785,1
6927,90,0
3209,761,1
5041,235,1
2341,196,1
121,487,1
423,235,1
4103,538,1
1894,25,0
2643,442,0
1707,750,0
9534,638,0
7527,114,0
9611,158,1
4218,182,1
6346,182,1
3904,446,1
5784,633,1
4296,577,1
5506,31,1
4627,389,0
5743,31,1
9457,646,1
3687,492,0
3180,760,1
8684,487,1
4306,557,1
2681,756,1
9912,158,1
9584,749,0
5094,673,1
7705,244,1
2604,237,1
745,506,1
888,633,1
3107,611,1
3739,323,1
2490,235,1
8311,748,1
6549,688,0
9627,640,0
6352,331,1
6369,750,1
6907,606,1
1999,19,1
4577,182,1
3619,93,1
6389,612,1
269,90,1
7779,236,1
4543,791,0
533,492,0
6364,373,1
5849,748,1
1469,830,0
8116,238,1
2582,305,1
852,504,1
9431,442,1
8401,261,1
3657,340,0
5594,751,1
2491,621,1
1699,89,0
4836,728,1
3016,443,1
4475,212,1
3765,748,0
8962,633,1
5509,317,0
4087,772,1
7211,727,1
9519,31,1
4678,606,1
137,89,1
9801,814,0
9258,233,0
54,727,1
3642,756,1
5901,504,1
4967,738,0
3415,830,0
1035,340,1
8816,624,0
5976,31,1
586,57,1
2592,631,0
9452,481,0
2526,121,1
4741,378,0
9562,830,0
9442,756,1
895,793,0
5718,606,1
1179,809,1
636,443,1
5090,553,1
7741,196,1
2086,34,0
9192,749,1
744,238,1
4684,729,1
4284,276,0
3456,534,1
803,31,1
8253,134,1
1271,177,1
134,196,0
3196,236,1
6772,437,1
8558,181,1
9639,232,1
4766,556,0
968,374,1
549,743,1
3524,636,1
6701,399,0
5229,34,0
1850,557,1
251,246,1
1888,492,1
7996,631,0
1685,233,1
9019,129,0
4173,748,1
2505,212,0
3354,445,0
557,212,0
5523,244,1
5476,494,0
2458,443,1
4007,67,0
9319,240,1
3864,232,1
7347,155,0
2332,748,1
907,631,1
8263,175,1
3922,71,1
5582,487,1
7241,688,0
3068,196,1
2682,90,0
5247,14,1
9868,236,1
9846,444,1
5005,728,1
3524,592,1
6224,23,1
8979,558,1
3913,241,1
